,Database,Gene ID,Record Name,Amino Acids,Keywords,SimChrom
P17535,Gene Ontology,JUND_HUMAN,Transcription factor JunD {ECO:0000305},347,3D-structure; Activator; Disulfide bond; DNA-binding; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,Regulation of transcription;DNA-binding transcription factors
Q6IPM2,BioGRID,IQCE_HUMAN,IQ domain-containing protein E,695,Alternative splicing; Cell membrane; Cell projection; Coiled coil;Membrane; Phosphoprotein; Reference proteome; Repeat.,
P04899,BioGRID,GNAI2_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-2,355,3D-structure; ADP-ribosylation; Alternative splicing; Cell cycle;Cell division; Cell membrane; Cytoplasm; Cytoskeleton; GTP-binding;Lipoprotein; Magnesium; Membrane; Metal-binding; Myristate;Nucleotide-binding; Palmitate; Reference proteome; Transducer.,
P30876,Gene Ontology,RPB2_HUMAN,DNA-directed RNA polymerase II subunit RPB2,1174,3D-structure; DNA-directed RNA polymerase; Hydrolase; Magnesium;Metal-binding; Methylation; Nucleotidyltransferase; Nucleus;Phosphoprotein; Reference proteome; RNA-directed RNA polymerase;Transcription; Transferase; Zinc; Zinc-finger.,Telomere-associated;RNA polymerases;DNA-templated transcription
P09661,BioGRID,RU2A_HUMAN,U2 small nuclear ribonucleoprotein A',255,3D-structure; Acetylation; Direct protein sequencing; Isopeptide bond;Leucine-rich repeat; mRNA processing; mRNA splicing; Nucleus;Phosphoprotein; Reference proteome; Repeat; Ribonucleoprotein; RNA-binding;Spliceosome; Ubl conjugation.,RNA processing
O75030,Gene Ontology,MITF_HUMAN,Microphthalmia-associated transcription factor,526,3D-structure; Activator; Albinism; Alternative splicing; Coiled coil;Cytoplasm; Deafness; Developmental protein; Disease variant; DNA-binding;Isopeptide bond; Lysosome; Membrane; Microphthalmia; Nucleus;Osteopetrosis; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation; Waardenburg syndrome.,DNA-binding transcription factors
Q86V81,BioGRID,THOC4_HUMAN,THO complex subunit 4,257,3D-structure; Acetylation; Chaperone; Citrullination; Cytoplasm;Direct protein sequencing; Host-virus interaction; Methylation;mRNA processing; mRNA splicing; mRNA transport; Nucleus; Phosphoprotein;Reference proteome; RNA-binding; Spliceosome; Transport.,Telomere-associated;RNA processing
Q9Y5B9,BioGRID,SP16H_HUMAN,FACT complex subunit SPT16,1047,3D-structure; Acetylation; ADP-ribosylation; Chromosome; Coiled coil;Direct protein sequencing; DNA damage; DNA repair; DNA replication;Host-virus interaction; Intellectual disability; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,DNA replication;DNA-templated transcription;Histone chaperones
Q02338,BioGRID,BDH_HUMAN,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial {ECO:0000305}",343,Acetylation; Allosteric enzyme; Glycoprotein; Lipid metabolism; Membrane;Mitochondrion; Mitochondrion inner membrane; NAD; Oxidoreductase;Phosphoprotein; Reference proteome; Transit peptide.,
P82933,BioGRID,RT09_HUMAN,Small ribosomal subunit protein uS9m {ECO:0000303|PubMed:25838379},396,3D-structure; Acetylation; Mitochondrion; Reference proteome;Ribonucleoprotein; Ribosomal protein; Transit peptide.,
Q02241,BioGRID,KIF23_HUMAN,Kinesin-like protein KIF23,960,3D-structure; Alternative splicing; ATP-binding; Cell cycle; Cell division;Coiled coil; Congenital dyserythropoietic anemia; Cytoplasm; Cytoskeleton;Disease variant; Hereditary hemolytic anemia; Isopeptide bond; Microtubule;Mitosis; Motor protein; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome; Ubl conjugation.,
Q14586,BioGRID,ZN267_HUMAN,Zinc finger protein 267,743,DNA-binding; Isopeptide bond; Metal-binding; Nucleus; Reference proteome;Repeat; Transcription; Transcription regulation; Ubl conjugation; Zinc;Zinc-finger.,DNA-binding transcription factors
O75367,Gene Ontology,H2AY_HUMAN,Core histone macro-H2A.1,369,3D-structure; Acetylation; Alternative splicing; Chromatin regulator;Chromosome; DNA-binding; Isopeptide bond; Methylation; Nucleosome core;Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation.,Histones
O60829,Gene Ontology,PAGE4_HUMAN,P antigen family member 4,102,3D-structure; Activator; Cytoplasm; DNA-binding; Mitochondrion; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,
P41182,STRING,BCL6_HUMAN,B-cell lymphoma 6 protein,706,3D-structure; Acetylation; Activator; Alternative splicing;Chromosomal rearrangement; DNA-binding; Immunity; Inflammatory response;Metal-binding; Nucleus; Phosphoprotein; Proto-oncogene; Reference proteome;Repeat; Repressor; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,DNA-binding transcription factors;DNA-templated transcription
Q9Y5J3,Gene Ontology,HEY1_HUMAN,Hairy/enhancer-of-split related with YRPW motif protein 1,304,3D-structure; Alternative splicing; Developmental protein; DNA-binding;Notch signaling pathway; Nucleus; Reference proteome; Repressor;Transcription; Transcription regulation.,DNA-binding transcription factors
Q9BWF3,Gene Ontology,RBM4_HUMAN,RNA-binding protein 4,364,3D-structure; Activator; Alternative splicing; Cytoplasm; Differentiation;Isopeptide bond; Metal-binding; mRNA processing; mRNA splicing; Nucleus;Phosphoprotein; Reference proteome; Repeat; RNA-binding;RNA-mediated gene silencing; Ubl conjugation; Zinc; Zinc-finger.,RNA processing
Q6EKJ0,Gene Ontology,GTD2B_HUMAN,General transcription factor II-I repeat domain-containing protein 2B,949,3D-structure; Alternative splicing; DNA-binding; Nucleus;Reference proteome; Repeat; Transcription; Transcription regulation;Williams-Beuren syndrome.,DNA-binding transcription factors
Q9BXS6,BioGRID,NUSAP_HUMAN,Nucleolar and spindle-associated protein 1,441,Acetylation; Alternative splicing; Cell cycle; Cell division; Chromosome;Coiled coil; Cytoplasm; Cytoskeleton; DNA-binding; Microtubule; Mitosis;Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation.,
P09651,Gene Ontology,ROA1_HUMAN,"Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed",372,3D-structure; Acetylation; Alternative splicing;Amyotrophic lateral sclerosis; Cytoplasm; Direct protein sequencing;Disease variant; Host-virus interaction; Isopeptide bond; Methylation;mRNA processing; mRNA splicing; mRNA transport; Neurodegeneration; Nucleus;Phosphoprotein; Reference proteome; Repeat; Ribonucleoprotein; RNA-binding;Spliceosome; Transport; Ubl conjugation.,RNA processing
P46459,BioGRID,NSF_HUMAN,Vesicle-fusing ATPase,744,3D-structure; Acetylation; Alternative splicing; ATP-binding; Cytoplasm;Disease variant; Epilepsy; Hydrolase; Intellectual disability; Magnesium;Metal-binding; Nucleotide-binding; Phosphoprotein; Protein transport;Reference proteome; Repeat; Transport.,
Q9Y3C1,BioGRID,NOP16_HUMAN,Nucleolar protein 16,178,3D-structure; Acetylation; Alternative splicing; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Ubl conjugation.,
Q5PRF9,BioGRID,SMAG2_HUMAN,Protein Smaug homolog 2,694,Cytoplasm; Methylation; Nucleus; Phosphoprotein; Reference proteome;Repressor; Transcription; Transcription regulation.,
P41159,Gene Ontology,LEP_HUMAN,Leptin {ECO:0000312|HGNC:HGNC:6553},167,3D-structure; Diabetes mellitus; Disease variant; Disulfide bond; Obesity;Reference proteome; Secreted; Signal.,
P29692,Gene Ontology,EF1D_HUMAN,Elongation factor 1-delta,281,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;DNA-binding; Elongation factor; Nucleus; Phosphoprotein;Protein biosynthesis; Reference proteome; Transcription;Transcription regulation.,
P27658,BioGRID,CO8A1_HUMAN,Vastatin,744,Angiogenesis; Basement membrane; Cell adhesion; Collagen;Extracellular matrix; Hydroxylation; Reference proteome; Repeat; Secreted;Signal.,
Q8IUE1,Gene Ontology,TF2LX_HUMAN,Homeobox protein TGIF2LX,241,3D-structure; DNA-binding; Homeobox; Nucleus; Reference proteome;Transcription; Transcription regulation.,DNA-binding transcription factors
Q969F1,Gene Ontology,TF3C6_HUMAN,General transcription factor 3C polypeptide 6,213,3D-structure; Acetylation; DNA-binding; Nucleus; Phosphoprotein;Reference proteome; Transcription.,Regulation of transcription;General TFs;DNA-templated transcription
Q15528,BioGRID,MED22_HUMAN,Mediator of RNA polymerase II transcription subunit 22,200,3D-structure; Activator; Alternative splicing; Coiled coil; Nucleus;Reference proteome; Transcription; Transcription regulation.,Regulation of transcription;DNA-templated transcription
P25490,Gene Ontology,TYY1_HUMAN,Transcriptional repressor protein YY1,414,3D-structure; Activator; ADP-ribosylation; Differentiation;Direct protein sequencing; Disease variant; DNA damage; DNA recombination;DNA repair; DNA-binding; Intellectual disability; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;Repressor; Spermatogenesis; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Chromatin remodelers;DNA repair;Telomere-associated;DNA-binding transcription factors
Q6ZN17,Gene Ontology,LN28B_HUMAN,Protein lin-28 homolog B,250,3D-structure; Alternative splicing; Cytoplasm; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; RNA-binding;RNA-mediated gene silencing; Zinc; Zinc-finger.,RNA processing
Q13151,BioGRID,ROA0_HUMAN,Heterogeneous nuclear ribonucleoprotein A0,305,Acetylation; Direct protein sequencing; Isopeptide bond; Methylation;Nucleus; Phosphoprotein; Reference proteome; Repeat; Ribonucleoprotein;RNA-binding; Ubl conjugation.,
P04198,Gene Ontology,MYCN_HUMAN,N-myc proto-oncogene protein,464,3D-structure; Activator; Disease variant; DNA-binding; Nucleus;Phosphoprotein; Proto-oncogene; Reference proteome; Transcription;Transcription regulation.,DNA-binding transcription factors
P54920,BioGRID,SNAA_HUMAN,Alpha-soluble NSF attachment protein,295,Acetylation; Cell membrane; ER-Golgi transport; Membrane; Phosphoprotein;Protein transport; Reference proteome; Transport.,
Q96AE4,Gene Ontology,FUBP1_HUMAN,Far upstream element-binding protein 1,644,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;DNA-binding; Methylation; Nucleus; Phosphoprotein; Reference proteome;Repeat; Transcription; Transcription regulation; Ubl conjugation.,
Q16594,Gene Ontology,TAF9_HUMAN,Transcription initiation factor TFIID subunit 9,264,3D-structure; Acetylation; Direct protein sequencing; DNA-binding; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,Histone modification;Regulation of transcription;General TFs;DNA-templated transcription
O95864,BioGRID,FADS2_HUMAN,Acyl-CoA 6-desaturase {ECO:0000305|PubMed:12713571},444,Alternative splicing; Electron transport; Endoplasmic reticulum;Fatty acid biosynthesis; Fatty acid metabolism; Lipid biosynthesis;Lipid metabolism; Membrane; Oxidoreductase; Reference proteome;Transmembrane; Transmembrane helix; Transport.,
Q86WR0,Gene Ontology,CCD25_HUMAN,Coiled-coil domain-containing protein 25 {ECO:0000305},208,3D-structure; Acetylation; Alternative splicing; Cell membrane;Coiled coil; DNA-binding; Membrane; Phosphoprotein; Reference proteome;Transmembrane; Transmembrane helix.,
P05787,BioGRID,K2C8_HUMAN,"Keratin, type II cytoskeletal 8",483,3D-structure; Acetylation; Alternative splicing; Coiled coil; Cytoplasm;Direct protein sequencing; Disease variant; Glycoprotein;Host-virus interaction; Intermediate filament; Isopeptide bond; Keratin;Methylation; Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation.,
Q92833,Gene Ontology,JARD2_HUMAN,Protein Jumonji,1246,3D-structure; Acetylation; Alternative splicing; Chromatin regulator;Developmental protein; Differentiation; Intellectual disability; Nucleus;Phosphoprotein; Reference proteome; Repressor; Transcription;Transcription regulation.,Histone PTM readers;Histone modification;X-chromosome inactivation
P21817,BioGRID,RYR1_HUMAN,Ryanodine receptor 1 {ECO:0000305|PubMed:18650434},5038,3D-structure; Alternative splicing; ATP-binding; Calcium; Calcium channel;Calcium transport; Calmodulin-binding; Developmental protein;Direct protein sequencing; Disease variant; Ion channel; Ion transport;Ligand-gated ion channel; Membrane; Metal-binding; Nucleotide-binding;Phosphoprotein; Receptor; Reference proteome; Repeat; S-nitrosylation;Sarcoplasmic reticulum; Transmembrane; Transmembrane helix; Transport.,
P12109,BioGRID,CO6A1_HUMAN,Collagen alpha-1(VI) chain,1028,Cell adhesion; Collagen; Congenital muscular dystrophy;Direct protein sequencing; Disease variant; Extracellular matrix;Glycoprotein; Hydroxylation; Limb-girdle muscular dystrophy;Reference proteome; Repeat; Secreted; Signal.,
P49368,BioGRID,TCPG_HUMAN,T-complex protein 1 subunit gamma,545,3D-structure; Acetylation; Alternative splicing; ATP-binding; Chaperone;Cytoplasm; Direct protein sequencing; Disulfide bond; Isopeptide bond;Nucleotide-binding; Phosphoprotein; Reference proteome; Ubl conjugation.,
P04908,Gene Ontology,H2A1B_HUMAN,Histone H2A type 1-B/E,130,3D-structure; Acetylation; Chromosome; Citrullination; DNA-binding;Hydroxylation; Isopeptide bond; Methylation; Nucleosome core; Nucleus;Phosphoprotein; Reference proteome; Ubl conjugation.,Histones
Q9NVV4,BioGRID,PAPD1_HUMAN,"Poly(A) RNA polymerase, mitochondrial",582,3D-structure; Acetylation; Alternative splicing; ATP-binding; Cytoplasm;Disease variant; Magnesium; Manganese; Metal-binding; Mitochondrion;mRNA processing; Neurodegeneration; Nucleotide-binding;Nucleotidyltransferase; Reference proteome; RNA-binding; Transcription;Transferase; Transit peptide.,
Q8WVC0,BioGRID,LEO1_HUMAN,RNA polymerase-associated protein LEO1,666,3D-structure; Acetylation; Activator; Alternative splicing; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Wnt signaling pathway.,RNA processing;DNA-templated transcription
Q00403,Gene Ontology,TF2B_HUMAN,Transcription initiation factor IIB {ECO:0000303|PubMed:1876184},316,3D-structure; Acetylation; Acyltransferase; Chromosome; DNA-binding;Host-virus interaction; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Transferase; Zinc; Zinc-finger.,Histone modification;Centromere-associated;Regulation of transcription;General TFs;DNA-templated transcription
O75083,BioGRID,WDR1_HUMAN,WD repeat-containing protein 1,606,Acetylation; Actin-binding; Alternative splicing; Cell junction;Cell projection; Cytoplasm; Cytoskeleton; Direct protein sequencing;Disease variant; Phosphoprotein; Reference proteome; Repeat; WD repeat.,
Q96JN0,Gene Ontology,LCOR_HUMAN,Ligand-dependent corepressor,433,3D-structure; Activator; Alternative splicing; DNA-binding;Isopeptide bond; Methylation; Nucleus; Phosphoprotein; Reference proteome;Repressor; Transcription; Transcription regulation; Ubl conjugation.,
O60762,BioGRID,DPM1_HUMAN,Dolichol-phosphate mannosyltransferase subunit 1,260,Acetylation; Congenital disorder of glycosylation;Congenital muscular dystrophy; Disease variant; Dystroglycanopathy;Endoplasmic reticulum; Glycosyltransferase; Magnesium; Manganese;Metal-binding; Phosphoprotein; Reference proteome; Transferase.,
P21675,Gene Ontology,TAF1_HUMAN,Transcription initiation factor TFIID subunit 1 {ECO:0000305},1893,3D-structure; Acetylation; Acyltransferase; Alternative initiation;Alternative splicing; ATP-binding; Bromodomain; Cell cycle;Disease variant; DNA-binding; Dystonia; Host-virus interaction;Intellectual disability; Isopeptide bond; Kinase; Nucleotide-binding;Nucleus; Parkinsonism; Phosphoprotein; Reference proteome; Repeat;Serine/threonine-protein kinase; Transcription; Transcription regulation;Transferase; Ubl conjugation.,Histone PTM readers;Histone modification;Regulation of transcription;General TFs;DNA-templated transcription;Other families with HMG-box domain
P18754,Gene Ontology,RCC1_HUMAN,Regulator of chromosome condensation,421,3D-structure; Alternative splicing; Cell cycle; Cell division; Chromosome;Cytoplasm; Direct protein sequencing; DNA-binding;Guanine-nucleotide releasing factor; Methylation; Mitosis; Nucleus;Phosphoprotein; Reference proteome; Repeat.,
Q14566,Gene Ontology,MCM6_HUMAN,DNA replication licensing factor MCM6,821,3D-structure; Acetylation; ATP-binding; Cell cycle; Chromosome;DNA replication; DNA-binding; Glycoprotein; Helicase; Hydrolase;Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome.,DNA replication;DNA repair;Telomere-associated;DNA-modifying enzymes
Q9NXH8,BioGRID,TOR4A_HUMAN,Torsin-4A,423,ATP-binding; Membrane; Nucleotide-binding; Phosphoprotein;Reference proteome; Transmembrane; Transmembrane helix.,
Q9BYN8,BioGRID,RT26_HUMAN,Small ribosomal subunit protein mS26 {ECO:0000303|PubMed:25838379},205,3D-structure; Mitochondrion; Reference proteome; Ribonucleoprotein;Ribosomal protein; Transit peptide.,
Q08499,BioGRID,PDE4D_HUMAN,"3',5'-cyclic-AMP phosphodiesterase 4D {ECO:0000305}",809,3D-structure; Alternative splicing; cAMP; Cell membrane; Cytoplasm;Cytoskeleton; Disease variant; Hydrolase; Isopeptide bond; Manganese;Membrane; Metal-binding; Phosphoprotein; Reference proteome;Ubl conjugation; Zinc.,
Q8ND30,BioGRID,LIPB2_HUMAN,Liprin-beta-2,876,3D-structure; Alternative splicing; Coiled coil; Phosphoprotein;Reference proteome; Repeat.,
P78347,Gene Ontology,GTF2I_HUMAN,General transcription factor II-I,998,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; DNA-binding; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation; Williams-Beuren syndrome.,DNA-binding transcription factors;DNA-templated transcription
Q9NV31,BioGRID,IMP3_HUMAN,U3 small nucleolar ribonucleoprotein protein IMP3,184,3D-structure; Nucleus; Reference proteome; Ribonucleoprotein;Ribosome biogenesis; RNA-binding; rRNA processing; rRNA-binding.,
P17655,BioGRID,CAN2_HUMAN,Calpain-2 catalytic subunit,700,3D-structure; Acetylation; Alternative splicing; Calcium; Cell membrane;Cytoplasm; Direct protein sequencing; Hydrolase; Membrane; Metal-binding;Protease; Reference proteome; Repeat; Thiol protease.,
Q5T5X7,Gene Ontology,BEND3_HUMAN,BEN domain-containing protein 3,828,3D-structure; Chromatin regulator; DNA-binding; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Repeat; Repressor; Transcription;Transcription regulation; Ubl conjugation.,Heterochromatin-associated
Q92481,Gene Ontology,AP2B_HUMAN,Transcription factor AP-2-beta,460,3D-structure; Activator; Alternative splicing; Disease variant;DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Ubl conjugation.,DNA-binding transcription factors;DNA-templated transcription
P51692,Gene Ontology,STA5B_HUMAN,Signal transducer and activator of transcription 5B,787,3D-structure; Activator; Cytoplasm; Disease variant; DNA-binding; Dwarfism;Nucleus; Phosphoprotein; Reference proteome; SH2 domain; Transcription;Transcription regulation.,Regulation of transcription;DNA-binding transcription factors;DNA-templated transcription
P11388,Gene Ontology,TOP2A_HUMAN,DNA topoisomerase 2-alpha,1531,3D-structure; Acetylation; Alternative splicing; ATP-binding;Biological rhythms; Cytoplasm; Direct protein sequencing; DNA-binding;Isomerase; Isopeptide bond; Magnesium; Metal-binding; Nucleotide-binding;Nucleus; Phosphoprotein; Reference proteome; Topoisomerase;Ubl conjugation.,Centromere-associated;DNA recombination;DNA-modifying enzymes
Q9H2D6,BioGRID,TARA_HUMAN,TRIO and F-actin-binding protein,2365,Actin-binding; Alternative promoter usage; Alternative splicing;Cell cycle; Cell division; Chromosome; Coiled coil; Cytoplasm;Cytoskeleton; Deafness; Disease variant; Methylation; Mitosis;Non-syndromic deafness; Nucleus; Phosphoprotein; Reference proteome;Telomere; Ubl conjugation.,Telomere-associated
P51530,Gene Ontology,DNA2_HUMAN,DNA replication ATP-dependent helicase DNA2,1060,3D-structure; 4Fe-4S; Acetylation; Alternative splicing; ATP-binding;Disease variant; DNA damage; DNA repair; DNA replication; DNA-binding;Dwarfism; Endonuclease; Helicase; Hydrolase; Intellectual disability; Iron;Iron-sulfur; Metal-binding; Mitochondrion; Multifunctional enzyme;Nuclease; Nucleotide-binding; Nucleus; Primary mitochondrial disease;Progressive external ophthalmoplegia; Reference proteome.,DNA replication;DNA repair;Telomere-associated;DNA-modifying enzymes
O14686,Gene Ontology,KMT2D_HUMAN,Histone-lysine N-methyltransferase 2D,5537,3D-structure; Acetylation; Alternative splicing; Chromatin regulator;Coiled coil; Congenital hypothyroidism; Deafness; Disease variant;Intellectual disability; Isopeptide bond; Metal-binding; Methylation;Methyltransferase; Nucleus; Phosphoprotein; Reference proteome; Repeat;S-adenosyl-L-methionine; Transcription; Transcription regulation;Transferase; Ubl conjugation; Zinc; Zinc-finger.,Histone modification;Histone PTM writers
P19338,Gene Ontology,NUCL_HUMAN,Nucleolin,710,3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;DNA-binding; Isopeptide bond; Methylation; Nucleus; Phosphoprotein;Reference proteome; Repeat; RNA-binding; Ubl conjugation.,Histone chaperones
Q96E29,Gene Ontology,MTEF3_HUMAN,"Transcription termination factor 3, mitochondrial",417,3D-structure; Alternative splicing; Direct protein sequencing; DNA-binding;Mitochondrion; Reference proteome; Ribosome biogenesis; Transcription;Transcription regulation; Transit peptide.,
Q9Y5N6,Gene Ontology,ORC6_HUMAN,Origin recognition complex subunit 6,252,3D-structure; Disease variant; DNA replication; DNA-binding; Dwarfism;Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Ubl conjugation.,DNA replication
P21580,Gene Ontology,TNAP3_HUMAN,A20p37,790,3D-structure; Acetylation; Apoptosis; Cytoplasm; Disease variant;DNA-binding; Hydrolase; Inflammatory response; Lysosome; Metal-binding;Multifunctional enzyme; Nucleus; Phosphoprotein; Protease;Reference proteome; Repeat; Thiol protease; Transferase;Ubl conjugation pathway; Zinc; Zinc-finger.,
Q86U86,Gene Ontology,PB1_HUMAN,Protein polybromo-1,1689,3D-structure; Acetylation; Alternative splicing; Bromodomain;Chromatin regulator; DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Tumor suppressor; Ubl conjugation.,Chromatin remodelers;Centromere-associated;DNA-templated transcription
P85037,BioGRID,FOXK1_HUMAN,"Forkhead box protein K1 {ECO:0000303|PubMed:15202027, ECO:0000303|PubMed:15289879}",733,Acetylation; Activator; Alternative splicing; Cytoplasm;Developmental protein; Differentiation; DNA-binding;Host-virus interaction; Methylation; Myogenesis; Nucleus; Phosphoprotein;Reference proteome; Repressor; Transcription; Transcription regulation.,DNA-binding transcription factors
Q5SSJ5,Gene Ontology,HP1B3_HUMAN,Heterochromatin protein 1-binding protein 3,553,3D-structure; Acetylation; Alternative splicing; Chromosome;Direct protein sequencing; DNA-binding; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Repeat; Ubl conjugation.,
Q15562,Gene Ontology,TEAD2_HUMAN,Transcriptional enhancer factor TEF-4,447,3D-structure; Activator; Alternative splicing; DNA-binding; Nucleus;Reference proteome; Transcription; Transcription regulation.,Regulation of transcription;DNA-binding transcription factors;DNA-templated transcription
Q9UI36,Gene Ontology,DACH1_HUMAN,Dachshund homolog 1,758,3D-structure; Activator; Alternative splicing; Coiled coil;Developmental protein; DNA-binding; Nucleus; Phosphoprotein;Reference proteome; Repressor; Transcription; Transcription regulation.,DNA-binding transcription factors
Q9H7B4,Gene Ontology,SMYD3_HUMAN,Histone-lysine N-methyltransferase SMYD3,428,3D-structure; Acetylation; Alternative splicing; Chromatin regulator;Cytoplasm; Metal-binding; Methyltransferase; Nucleus; Phosphoprotein;Reference proteome; S-adenosyl-L-methionine; Transferase; Zinc;Zinc-finger.,Histone modification;Histone PTM writers
O15027,BioGRID,SC16A_HUMAN,Protein transport protein Sec16A,2357,Alternative splicing; Cytoplasm; Endoplasmic reticulum; ER-Golgi transport;Golgi apparatus; Membrane; Microsome; Phosphoprotein; Protein transport;Reference proteome; Transport.,
Q14865,Gene Ontology,ARI5B_HUMAN,AT-rich interactive domain-containing protein 5B,1188,3D-structure; Activator; Alternative splicing; DNA-binding;Isopeptide bond; Methylation; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Ubl conjugation.,
Q15397,Gene Ontology,PUM3_HUMAN,Pumilio homolog 3 {ECO:0000305},648,3D-structure; Acetylation; Chromosome; Direct protein sequencing;DNA-binding; Nucleus; Reference proteome; Repeat; RNA-binding.,
Q8N2Z9,Gene Ontology,CENPS_HUMAN,Centromere protein S,138,3D-structure; Acetylation; Alternative splicing; Cell cycle; Cell division;Centromere; Chromosome; DNA damage; DNA repair; DNA-binding; Kinetochore;Mitosis; Nucleus; Reference proteome.,DNA replication;DNA repair;Centromere-associated;DNA recombination
Q13310,BioGRID,PABP4_HUMAN,Polyadenylate-binding protein 4,644,Alternative splicing; Cytoplasm; Direct protein sequencing;Isopeptide bond; Methylation; Phosphoprotein; Reference proteome; Repeat;RNA-binding; Ubl conjugation.,
Q02818,Gene Ontology,NUCB1_HUMAN,Nucleobindin-1,461,3D-structure; Calcium; Coiled coil; Cytoplasm; DNA-binding; Glycoprotein;Golgi apparatus; Guanine-nucleotide releasing factor; Membrane;Metal-binding; Phosphoprotein; Reference proteome; Repeat; Secreted;Signal.,
P10244,Gene Ontology,MYBB_HUMAN,Myb-related protein B,700,3D-structure; Alternative splicing; DNA-binding; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
Q99873,Gene Ontology,ANM1_HUMAN,Protein arginine N-methyltransferase 1 {ECO:0000305},371,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Isopeptide bond; Lysosome; Membrane; Methyltransferase; Nucleus;Phosphoprotein; Reference proteome; S-adenosyl-L-methionine; Transferase;Ubl conjugation.,Histone modification;Histone PTM writers;RNA processing;Methylated DNA binding
A9YTQ3,Gene Ontology,AHRR_HUMAN,Aryl hydrocarbon receptor repressor,701,3D-structure; Alternative splicing; Cytoplasm; DNA-binding;Isopeptide bond; Nucleus; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,Nuclear hormone receptors;DNA-binding transcription factors
Q15788,Gene Ontology,NCOA1_HUMAN,Nuclear receptor coactivator 1,1441,3D-structure; Acetylation; Activator; Acyltransferase;Alternative splicing; Chromosomal rearrangement; Isopeptide bond;Methylation; Nucleus; Phosphoprotein; Proto-oncogene; Reference proteome;Repeat; Transcription; Transcription regulation; Transferase;Ubl conjugation.,Histone modification;Histone PTM writers;Regulation of transcription;DNA-templated transcription
P49720,BioGRID,PSB3_HUMAN,Proteasome subunit beta type-3,205,3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;Host-virus interaction; Nucleus; Proteasome; Reference proteome.,
Q8IYB3,Gene Ontology,SRRM1_HUMAN,Serine/arginine repetitive matrix protein 1,904,3D-structure; Acetylation; Alternative splicing; Citrullination;Direct protein sequencing; DNA-binding; Isopeptide bond; mRNA processing;mRNA splicing; Nucleus; Phosphoprotein; Reference proteome; RNA-binding;Spliceosome; Ubl conjugation.,RNA processing
Q08431,BioGRID,MFGM_HUMAN,Medin,387,Alternative splicing; Amyloid; Angiogenesis; Cell adhesion;Cytoplasmic vesicle; Direct protein sequencing; Disulfide bond;EGF-like domain; Fertilization; Glycoprotein; Membrane; Phosphoprotein;Reference proteome; Repeat; Secreted; Signal.,
P49750,BioGRID,YLPM1_HUMAN,YLP motif-containing protein 1,2146,Alternative splicing; Isopeptide bond; Methylation; Nucleus;Phosphoprotein; Reference proteome; Repressor; Transcription;Transcription regulation; Ubl conjugation.,
